timestamps,TP9,AF7,AF8,TP10,Right AUX
1718676103.562,-29.785,-54.688,-118.652,28.320,0.000
1718676103.566,2.930,-17.090,106.934,-20.996,0.000
1718676103.570,-3.418,-20.996,71.289,-58.594,0.000
1718676103.574,-30.762,-40.527,-77.637,-54.688,0.000
1718676103.578,-39.062,-23.926,60.059,0.000,0.000
1718676103.581,-22.949,-23.926,74.707,24.902,0.000
1718676103.585,1.465,-27.344,18.555,-14.160,0.000
1718676103.589,1.953,-44.922,-224.609,-53.711,0.000
1718676103.593,-17.090,-48.340,-243.652,-49.805,0.000
1718676103.597,-41.992,3.418,124.023,-7.812,0.000
1718676103.601,-38.086,1.953,130.371,26.367,0.000
1718676103.605,-5.371,-27.344,9.766,-10.254,0.000
1718676103.607,6.836,-19.531,42.969,-68.848,0.000
1718676103.611,-28.320,-12.207,66.895,-52.734,0.000
1718676103.615,-64.453,-13.184,75.195,6.348,0.000
1718676103.619,-44.922,-16.113,81.543,35.645,0.000
1718676103.623,0.488,-7.812,156.250,20.508,0.000
1718676103.627,6.348,-27.344,-5.859,-37.109,0.000
1718676103.631,-15.625,-45.898,-252.441,-55.664,0.000
1718676103.635,-38.574,-58.594,-321.289,0.000,0.000
1718676103.638,-38.574,-10.254,68.848,33.203,0.000
1718676103.642,-9.766,2.930,174.805,2.441,0.000
1718676103.646,13.184,-23.926,-19.043,-53.711,0.000
1718676103.650,-10.254,-29.785,-121.094,-79.102,0.000
1718676103.654,-18.555,-22.949,12.207,-33.691,0.000
1718676103.658,20.020,-6.348,191.895,29.785,0.000
1718676103.662,15.625,-16.113,150.391,22.461,0.000
1718676103.666,-41.504,-30.273,97.656,-47.363,0.000
1718676103.670,-69.824,-39.062,-148.926,-102.051,0.000
1718676103.674,-32.715,-45.410,-328.613,-58.594,0.000
1718676103.678,23.438,-29.785,-44.434,45.410,0.000
1718676103.682,20.996,-10.742,130.859,47.363,0.000
1718676103.686,-39.551,-5.371,146.484,-46.387,0.000
1718676103.689,-83.496,-35.645,-226.074,-113.770,0.000
1718676103.693,-61.523,-57.617,-508.301,-83.008,0.000
1718676103.697,15.137,-23.926,-132.324,20.020,0.000
1718676103.701,31.738,16.113,280.762,42.969,0.000
1718676103.705,-34.180,-1.953,152.832,-37.598,0.000
