timestamps,TP9,AF7,AF8,TP10,Right AUX
1718680471.196,166.992,-268.066,-269.531,612.793,0.000
1718680471.200,197.754,-334.473,-249.023,624.512,0.000
1718680471.204,-236.328,-433.105,-360.352,-315.918,0.000
1718680471.208,-618.164,-723.633,-465.820,-1000.000,0.000
1718680471.212,-439.453,-940.918,-473.145,-570.312,0.000
1718680471.216,26.367,-883.301,-367.676,451.172,0.000
1718680471.220,103.516,-569.824,-239.258,569.336,0.000
1718680471.224,-245.117,-524.414,-331.543,-241.699,0.000
1718680471.227,-633.789,-944.824,-613.770,-963.867,0.000
1718680471.231,-542.480,-979.492,-561.523,-710.449,0.000
1718680471.235,-78.613,-476.562,-275.391,285.645,0.000
1718680471.239,134.277,-183.594,-226.074,604.492,0.000
1718680471.243,0.000,-558.105,-442.871,-70.801,0.000
1718680471.247,0.000,-721.680,-496.094,-914.062,0.000
1718680471.251,0.000,-586.426,-415.039,-767.090,0.000
1718680471.255,0.000,-557.617,-375.000,271.484,0.000
1718680471.259,0.000,-351.562,-298.828,720.215,0.000
1718680471.263,0.000,-393.066,-371.094,90.332,0.000
1718680471.267,0.000,-573.242,-469.238,-848.633,0.000
1718680471.270,0.000,-467.773,-443.359,-771.484,0.000
1718680471.274,0.000,-813.965,-521.484,256.348,0.000
1718680471.278,0.000,-217.773,-152.832,793.945,0.000
1718680471.282,0.000,348.633,0.977,298.828,0.000
1718680471.286,0.000,-419.922,-462.402,-715.820,0.000
1718680471.290,-133.301,-604.980,-501.953,-822.754,0.000
1718680471.294,-601.562,-13.184,-233.887,122.559,0.000
1718680471.298,-540.039,401.855,1.465,820.312,0.000
1718680471.302,-17.578,224.121,-102.051,478.516,0.000
1718680471.305,233.398,-219.238,-413.086,-594.727,0.000
1718680471.309,-18.066,-525.391,-504.395,-850.586,0.000
1718680471.313,-480.469,-336.914,-375.977,15.137,0.000
1718680471.317,-486.816,-188.965,-303.711,834.473,0.000
1718680471.321,-22.461,-500.488,-306.152,600.586,0.000
1718680471.325,250.977,-171.875,-334.961,-482.422,0.000
1718680471.329,91.309,-163.574,-453.125,-884.277,0.000
1718680471.333,-377.441,-350.586,-425.293,-127.441,0.000
1718680471.337,298.828,157.715,-102.051,773.438,0.000
1718680471.341,284.180,457.520,0.000,658.203,0.000
1718680471.345,-155.762,-217.285,-411.133,-333.008,0.000
1718680471.348,-452.637,-751.953,-579.102,-873.047,0.000
1718680471.352,-217.773,-266.113,-368.164,-277.832,0.000
1718680471.356,254.395,100.586,-228.027,715.820,0.000
1718680471.360,328.125,-12.207,-265.625,745.605,0.000
1718680471.364,-67.871,-633.789,-550.293,-184.082,0.000
1718680471.368,-452.148,-554.688,-484.375,-895.996,0.000
1718680471.372,-277.344,95.703,-250.488,-414.062,0.000
1718680471.376,232.910,261.719,-87.402,644.043,0.000
1718680471.380,352.051,269.043,-56.641,801.270,0.000
1718680471.384,-17.090,187.500,-182.617,-41.992,0.000
1718680471.388,-426.758,-56.641,-351.074,-854.980,0.000
1718680471.391,-314.941,-171.387,-422.363,-498.535,0.000
1718680471.395,167.969,63.477,-197.754,553.711,0.000
1718680471.399,357.422,360.840,34.668,840.332,0.000
1718680471.403,50.781,91.309,-181.641,104.004,0.000
1718680471.407,-395.020,-570.312,-514.648,-807.617,0.000
1718680471.411,-361.328,-789.551,-483.398,-593.750,0.000
1718680471.415,75.195,59.570,-104.492,407.715,0.000
1718680471.419,339.844,534.668,90.332,829.102,0.000
1718680471.423,120.117,119.141,-139.648,249.512,0.000
1718680471.427,-388.184,-218.262,-375.488,-774.414,0.000
1718680471.431,-419.922,-103.027,-331.543,-713.867,0.000
1718680471.434,37.109,145.020,-172.363,303.223,0.000
1718680471.438,332.031,-40.527,-203.125,857.910,0.000
1718680471.442,140.625,-166.504,-291.016,358.398,0.000
1718680471.446,-367.188,-127.930,-339.844,-723.145,0.000
1718680471.450,-443.359,-469.238,-427.246,-784.180,0.000
1718680471.454,-16.602,-809.570,-484.863,187.988,0.000
1718680471.458,294.434,-286.133,-158.691,792.969,0.000
1718680471.462,162.109,236.816,37.109,421.875,0.000
1718680471.466,-304.199,-100.586,-312.988,-615.723,0.000
1718680471.470,-474.609,-465.820,-432.617,-861.328,0.000
1718680471.473,-116.699,-57.617,-244.141,0.488,0.000
1718680471.477,296.875,398.926,35.156,791.016,0.000
1718680471.481,229.004,242.676,-25.391,546.875,0.000
1718680471.485,-252.930,-276.855,-371.582,-512.695,0.000
1718680471.489,-483.887,-383.789,-399.902,-928.223,0.000
1718680471.493,-172.363,-101.562,-285.645,-173.340,0.000
1718680471.497,281.738,-255.371,-323.730,761.230,0.000
1718680471.501,262.695,-546.387,-267.578,633.301,0.000
1718680471.505,-214.844,-176.270,-234.863,-417.480,0.000
1718680471.509,-500.488,-193.359,-384.277,-940.430,0.000
1718680471.512,-226.074,-460.938,-445.312,-291.504,0.000
1718680471.516,228.027,-208.496,-171.875,687.500,0.000
1718680471.520,267.578,184.082,48.828,678.711,0.000
1718680471.524,0.000,38.086,0.000,-270.020,0.000
1718680471.528,0.000,-521.484,0.000,-932.129,0.000
1718680471.532,0.000,-444.336,0.000,-441.406,0.000
1718680471.536,0.000,-57.617,0.000,597.656,0.000
1718680471.540,0.000,155.762,0.000,747.559,0.000
1718680471.544,0.000,-437.988,0.000,-97.656,0.000
1718680471.548,0.000,-783.691,0.000,-921.875,0.000
1718680471.552,0.000,-239.746,0.000,-571.777,0.000
1718680471.555,0.000,2.441,0.000,502.930,0.000
1718680471.559,0.000,-514.648,0.000,816.895,0.000
1718680471.563,0.000,-276.367,0.000,41.016,0.000
1718680471.567,0.000,-142.578,0.000,-886.719,0.000
1718680471.571,-380.859,-367.676,-194.824,-634.766,0.000
1718680471.575,87.891,-298.828,-513.672,407.715,0.000
1718680471.579,300.781,51.270,-404.785,791.016,0.000
1718680471.583,59.570,280.273,-137.695,180.664,0.000
1718680471.587,-419.434,-299.805,-21.973,-807.617,0.000
1718680471.591,-426.758,-765.625,-395.996,-743.652,0.000
1718680471.594,21.973,-380.371,-515.625,274.902,0.000
1718680471.598,293.945,290.039,-297.363,818.848,0.000
1718680471.602,123.535,21.484,-196.289,357.910,0.000
1718680471.606,-390.137,-714.355,-394.531,-715.820,0.000
1718680471.610,-493.164,-321.289,-298.828,-832.031,0.000
1718680471.614,-51.270,128.418,-328.613,151.855,0.000
1718680471.618,327.148,100.098,-49.316,836.426,0.000
1718680471.622,186.523,219.727,-18.066,448.730,0.000
1718680471.626,-338.867,-43.457,-274.414,-645.020,0.000
1718680471.630,-487.305,-568.848,-467.285,-874.512,0.000
1718680471.634,-104.980,-536.133,-355.469,8.301,0.000
1718680471.637,285.645,-148.438,-137.207,809.082,0.000
1718680471.641,207.520,42.480,-11.719,557.617,0.000
1718680471.645,-271.973,-174.805,-295.898,-537.598,0.000
1718680471.649,-488.281,-839.355,-641.113,-922.363,0.000
1718680471.653,-208.984,-456.543,-340.332,-166.504,0.000
1718680471.657,253.418,395.996,78.125,761.230,0.000
1718680471.661,271.973,339.355,10.254,659.668,0.000
1718680471.665,-213.379,-149.902,-293.945,-406.738,0.000
1718680471.669,-522.949,-304.199,-415.039,-988.770,0.000
1718680471.673,-238.770,-95.215,-293.945,-330.566,0.000
1718680471.677,253.418,127.441,-54.199,740.234,0.000
1718680471.680,291.016,220.215,34.180,753.906,0.000
1718680471.684,-132.812,-199.219,-331.055,-252.441,0.000
1718680471.688,-503.906,-586.426,-492.676,-972.168,0.000
1718680471.692,-297.852,-639.648,-453.613,-459.473,0.000
1718680471.696,215.332,-612.305,-266.113,636.230,0.000
1718680471.700,305.664,154.297,82.031,769.531,0.000
1718680471.704,-71.777,212.402,-90.820,-102.051,0.000
1718680471.708,-469.727,-588.379,-530.762,-938.477,0.000
1718680471.712,-362.305,-541.504,-436.035,-606.445,0.000
1718680471.716,131.348,199.219,-5.371,505.371,0.000
1718680471.719,327.148,255.859,2.441,839.844,0.000
1718680471.723,1.465,-284.668,-377.441,74.219,0.000
1718680471.727,-482.422,-459.473,-484.863,-890.625,0.000
1718680471.731,-428.711,-495.117,-400.879,-685.059,0.000
1718680471.735,75.684,-332.520,-289.062,422.363,0.000
1718680471.739,331.543,-497.070,-333.496,902.832,0.000
1718680471.743,43.945,-320.312,-176.758,219.238,0.000
1718680471.747,-458.984,-113.770,-288.086,-841.797,0.000
1718680471.751,-440.430,-515.137,-522.949,-769.531,0.000
1718680471.755,24.902,-377.930,-255.859,281.250,0.000
1718680471.759,0.000,261.230,62.988,855.469,0.000
1718680471.762,0.000,340.820,0.977,349.609,0.000
1718680471.766,0.000,-316.895,-416.504,-749.023,0.000
1718680471.770,0.000,-579.102,-479.004,-865.234,0.000
1718680471.774,0.000,-143.066,-249.023,141.113,0.000
1718680471.778,0.000,-29.297,-201.172,861.328,0.000
1718680471.782,0.000,-349.609,-325.195,485.352,0.000
1718680471.786,0.000,-837.402,-539.551,-649.414,0.000
1718680471.790,0.000,-561.523,-424.316,-977.051,0.000
1718680471.794,0.000,-96.680,-287.109,-29.785,0.000
1718680471.798,0.000,-61.035,-239.258,844.238,0.000
1718680471.801,0.000,95.703,-81.543,557.617,0.000
1718680471.805,-281.738,-188.477,-360.352,-547.852,0.000
1718680471.809,-506.348,-696.777,-564.941,-964.844,0.000
1718680471.813,-180.176,-780.273,-501.953,-159.180,0.000
1718680471.817,257.324,-346.191,-292.969,788.574,0.000
1718680471.821,237.305,108.398,-80.566,652.344,0.000
1718680471.825,-220.703,-396.484,-405.273,-411.133,0.000
1718680471.829,-511.719,-997.559,-722.168,-970.703,0.000
1718680471.833,-271.484,-615.723,-441.406,-342.285,0.000
1718680471.837,219.727,136.719,-21.484,714.844,0.000
1718680471.841,276.855,202.148,-31.250,741.211,0.000
1718680471.844,-169.434,-333.008,-342.773,-278.809,0.000
1718680471.848,-521.484,-509.277,-468.750,-984.375,0.000
1718680471.852,-330.566,-300.293,0.000,-481.934,0.000
1718680471.856,185.547,-60.059,0.000,641.602,0.000
1718680471.860,302.734,75.195,0.000,798.340,0.000
1718680471.864,-133.301,-85.449,0.000,-203.613,0.000
1718680471.868,-515.625,-563.965,0.000,-982.422,0.000
1718680471.872,-362.305,-837.402,0.000,-562.500,0.000
1718680471.876,114.258,-586.914,0.000,527.832,0.000
